CUSTOMER_NUMBER,FIN_PERIOD,DEPOSIT_DATE,DEPOSIT_REF,BANK_AMT,DISCOUNT,TOT_PAYMENT
EPER01,201908,2019-10-29,DB08-191,-4244.67,0,-4244
EPER04,201903,2019-05-31,DD03-020,-1783.28,-198,-1783
EPER04,201904,2019-06-28,DB04-168,-748.98,-82,-748
EPER04,201908,2019-10-15,DB08-101,-380.13,0,-380
EPER04,202011,2020-01-06,DD11-001,-664.96,0,-664
EPER04,202011,2020-01-31,DB11-182,-817.66,-43,-817
EPHE01,201905,2019-07-13,DB05-109,-600.0,0,-600
EPHE01,201906,2019-08-14,DB06-057,-400.0,0,-400
EPHE01,201907,2019-09-03,DB07-013,-500.0,0,-500
EPHE01,201908,2019-10-02,DD08-014,-500.0,0,-500
EPHE01,201909,2019-11-07,DD09-005,-1000.0,0,-1000
EPHE01,202011,2020-01-28,DB11-149,-90.0,0,-90
EPRC01,201810,2018-12-10,DD10-005,-600.0,0,0
EPRT02,201903,2019-05-29,DB03-178,-1007.19,-53,-1007
EPRT02,201909,2019-11-29,DB09-176,-481.88,-25,-481
ERED01,201905,2019-07-25,DD05-016,0.0,-272,0
ERED01,201906,2019-08-23,DB06-121,-85.5,0,-85
ERED03,201908,2019-10-09,DB08-053,-156.92,-8,-156
ERED03,201910,2019-12-09,DB10-037,-43.26,-2,-43
EROT01,201905,2019-07-02,DB05-020,-7932.28,-880,-7932
EROT01,201905,2019-07-24,DB05-173,-8954.92,-994,-8954
EROT01,201908,2019-10-23,DB08-149,-2626.5,0,-2626
EROT01,201909,2019-11-28,DB09-160,-317.21,0,-317
EROT01,202011,2020-01-13,DD11-004,0.0,-152,0
ESEB02,201906,2019-08-06,DD06-004,-161.88,0,-161
ESEB02,202011,2020-01-29,DD11-012,-142.44,0,-142
ESED01,201904,2019-06-08,DB04-044,-1867.1,-98,-1866
ESED01,201910,2019-12-24,DB10-144,-785.12,0,-785
ESED01,202011,2020-01-11,DB11-031,-43.26,-2,-43
ESED02,201906,2019-08-08,DB06-044,-1772.7,0,-1772
ESED04,201908,2019-10-03,DB08-027,-2458.47,-273,-2458
ESED04,201909,2019-11-29,DB09-183,-2223.49,-204,-2223
ESES01,201905,2019-07-03,DD05-003,-3000.0,0,-3000
ESES01,201907,2019-09-23,DB07-150,-2500.0,0,-2500
ESET01,201905,2019-07-12,DD05-009,-1559.52,-82,-1558
ESET01,201908,2019-10-09,DD08-004,-43.26,-2,-43
ESET01,201909,2019-11-07,DD09-005,-860.93,-45,-860
ESET01,201910,2019-12-04,DD10-002,-579.35,-30,-579
ESHP01,201908,2019-10-30,DD08-015,-2058.84,0,-2058
ESHP02,201907,2019-09-09,DB07-057,-273.6,0,-273
ESHR01,201903,2019-05-23,DB03-141,-1190.22,-62,-1190
ESHR01,201905,2019-07-25,DD05-016,-28.5,0,-28
ESHR01,201906,2019-08-06,DD06-004,-822.85,-91,-822
ESHR01,201906,2019-08-21,DD06-009,-405.27,-45,-405
ESHR01,201909,2019-11-01,DD09-001,-211.38,-23,-211
ESHR01,201910,2019-12-04,DD10-002,-437.05,-47,-437
ESHR01,202011,2020-01-07,DD11-002,-702.81,-78,-702
ESHR01,202011,2020-01-28,DB11-146,-628.14,0,-628
ESHR03,201909,2019-11-19,DD09-011,-450.3,0,-450
ESPC01,201903,2019-05-22,DB03-131,-991.18,0,-991
ESPC01,201904,2019-06-28,DB04-175,-7592.4,0,-7592
ESPC01,201905,2019-07-26,DB05-195,-11908.44,0,-11908
ESPC01,201906,2019-08-27,DB06-150,-820.23,0,-820
ESPC01,201908,2019-10-11,DB08-083,-414.56,-18,-414
ESPC02,201904,2019-06-11,DB04-099,-2339.71,-59,-2339
ESPC02,201905,2019-07-11,DB05-096,-7019.12,-178,-7018
ESPC02,201906,2019-08-13,DB06-093,-3509.56,-89,-3509
ESPC02,201908,2019-10-11,DB08-076,-443.37,-11,-443
ESPC02,202011,2020-01-14,DB11-111,-88.8,-2,-88
ESPC03,201903,2019-05-17,DB03-104,-921.12,0,-921
ESPC03,201907,2019-09-12,DB07-076,-655.77,0,-655
ESPC03,201909,2019-11-08,DB09-040,-507.18,0,-507
ESPC03,202011,2020-01-09,DB11-025,-529.92,0,-529
ESPC14,202011,2020-01-25,DB11-126,-644.39,-33,-644
ESPC16,201908,2019-10-11,DB08-092,-17.23,0,-17
ESPC16,201910,2019-12-19,DB10-104,-5768.11,-467,-5768
ESPC17,201908,2019-10-11,DB08-081,-179.21,-14,-179
ESPC18,201905,2019-07-22,DD05-014,0.0,-78,0
ESPC18,201906,2019-08-21,DD06-009,-39.87,0,-39
ESPC18,201908,2019-10-11,DB08-091,-124.46,-3,-124
ESPC19,201903,2019-05-14,DB03-083,-2289.32,-185,-2289
ESPC19,201907,2019-09-11,DB07-107,-42.18,-3,-42
ESPC19,202011,2020-01-20,DB11-069,-2000.35,0,-2000
ESPC20,201903,2019-05-14,DB03-085,-47.45,-3,-47
ESPC20,201904,2019-06-11,DB04-087,-2277.72,-184,-2277
ESPC20,201905,2019-07-11,DB05-084,-3313.24,-268,-3312
ESPC20,201906,2019-08-13,DB06-082,-273.12,-22,-273
ESPC20,201907,2019-09-11,DB07-109,-42.12,-3,-42
ESPC20,201908,2019-10-11,DB08-089,-1745.14,-141,-1745
ESPC20,201909,2019-11-12,DB09-081,-42.12,-3,-42
ESPC20,201910,2019-12-19,DB10-105,-341.81,-27,-341
ESPC20,202011,2020-01-14,DB11-105,-2132.61,-172,-2132
ESPC21,201904,2019-06-11,DB04-082,-3050.46,-247,-3050
ESPC21,201909,2019-11-12,DB09-084,-7064.62,-572,-7064
ESPC25,201905,2019-07-11,DB05-089,-13835.04,-1120,-13834
ESPC25,201906,2019-08-13,DB06-084,-73.81,-5,-73
ESPC25,201907,2019-09-11,DB07-106,-760.13,-61,-760
ESPC25,201908,2019-10-11,DB08-082,-345.82,-28,-345
ESPC26,201905,2019-07-22,DD05-014,0.0,-78,0
ESPC29,201903,2019-05-14,DB03-087,-4655.61,-377,-4655
ESPC29,201905,2019-07-11,DB05-086,-3534.14,-286,-3534
ESPC30,201903,2019-05-14,DB03-093,-51257.05,-19442,-51257
ESPC30,201904,2019-06-11,DB04-093,-262.0,-99,-262
ESPC30,201905,2019-07-11,DB05-094,-11602.86,-3368,-11602
ESPC30,201906,2019-08-13,DB06-089,-1002.5,-204,-1002
ESPC30,201906,2019-08-16,DB06-070,-37190.73,-9302,-37190
ESPC30,202011,2020-01-14,DB11-109,-24312.88,-3473,-24312
ESPC30,202011,2020-01-31,DB11-191,-2222.27,0,-2222
ESPC33,201904,2019-06-11,DB04-098,-13481.78,-1093,-13481
ESPC33,201907,2019-09-30,DB07-187,-184.05,-9,-184
ESPC33,201910,2019-12-02,DB10-009,-205.71,-10,-205
ESPC33,202011,2020-01-13,DB11-033,-654.24,0,-654
ESPC34,201905,2019-07-23,DB05-170,-307.8,0,-306
ESPC34,202011,2020-01-14,DB11-107,-2535.12,-205,-2535
ESPC35,201903,2019-05-17,DB03-099,-3955.57,0,-3955
ESPC35,201905,2019-07-16,DB05-117,-8294.18,0,-8294
ESPC36,201903,2019-05-14,DB03-080,-3591.66,-280,-3591
ESPC36,201903,2019-05-28,DB03-167,-2724.03,-302,-2724
ESPC36,201904,2019-06-11,DB04-079,-451.12,-36,-451
ESPC39,201904,2019-06-11,DB04-097,-3750.84,-304,-3750
ESPC39,201905,2019-07-11,DD05-008,0.0,0,0
ESPC39,201907,2019-09-30,DB07-188,-135.32,-7,-135
ESPC40,201905,2019-07-02,DD05-002,0.0,0,0
ESPC40,201905,2019-07-03,DD05-003,0.0,0,0
ESPC41,201903,2019-05-27,DB03-161,-2123.25,-8,-2123
ESPC41,201905,2019-07-11,DB05-079,-3975.18,-118,-3974
ESPC41,202011,2020-01-20,DB11-066,-119.36,0,-119
ESPC42,201903,2019-05-14,DB03-084,-6036.48,-489,-6036
ESPC42,201904,2019-06-11,DB04-086,-6847.03,-555,-6847
ESPC42,201905,2019-07-11,DB05-083,-9169.92,-742,-9168
ESPC42,201906,2019-08-13,DB06-081,-2090.49,-169,-2090
ESPC42,201907,2019-09-11,DB07-108,-1343.43,-108,-1343
ESPC42,201908,2019-10-11,DB08-088,-5574.09,-451,-5574
ESPC43,201903,2019-05-14,DB03-089,-2437.5,-62,-2437
ESPC43,201904,2019-06-11,DB04-091,-1462.5,-37,-1462
ESPC43,201905,2019-07-15,DB05-112,-7916.8,0,-7916
ESPC43,201907,2019-09-11,DB07-105,-8714.8,-706,-8714
ESPC44,201904,2019-06-11,DB04-077,-77.8,-2,-77
ESPC44,201905,2019-07-11,DB05-080,-1189.3,-30,-1188
ESPC44,201906,2019-08-13,DB06-078,-222.3,-5,-222
ESPC44,201908,2019-10-11,DB08-094,-594.59,-15,-594
ESPC44,201910,2019-12-19,DB10-102,-116.65,-2,-116
ESPC45,201903,2019-05-29,DB03-182,-5836.58,0,-5836
ESPC45,201908,2019-10-11,DB08-084,-27.79,0,-27
ESPC45,201910,2019-12-19,DB10-107,-132.21,-3,-132
ESPC46,201903,2019-05-14,DB03-095,-179.26,-14,-179
ESPC46,201904,2019-06-11,DB04-080,-53.78,-4,-53
ESPC46,201906,2019-08-13,DB06-077,-7712.61,-625,-7712
ESPC48,201903,2019-05-14,DB03-086,-2717.45,-220,-2717
ESPC48,201904,2019-06-11,DB04-088,-2038.35,-165,-2038
ESPC48,201905,2019-07-11,DB05-088,-4317.12,-350,-4316
ESPC48,201906,2019-08-13,DB06-083,-574.7,-46,-574
ESPC48,201907,2019-09-11,DB07-110,-3420.69,-277,-3420
ESPC48,201908,2019-10-11,DB08-090,-2223.78,-180,-2223
ESPC48,201909,2019-11-12,DB09-082,-324.21,-26,-324
ESPC48,201910,2019-12-19,DB10-106,-1520.61,-123,-1520
ESPC48,202011,2020-01-14,DB11-106,-2633.09,-213,-2633
ESPC49,201908,2019-10-11,DB08-080,-213.68,-5,-213
ESPC50,201905,2019-07-31,DB05-223,-406.13,-21,-406
ESPC58,201908,2019-10-30,DD08-015,-11196.64,-1599,-11196
ESPC58,201909,2019-11-05,DD09-003,-4708.2,-807,-4708
ESPC59,201905,2019-07-22,DD05-014,0.0,-78,0
ESPC59,201909,2019-11-14,DB09-066,-182.28,0,-182
ESPC61,201905,2019-07-19,DB05-148,-886.92,0,-886
ESPC61,201907,2019-09-12,DB07-075,-438.63,0,-438
ESPC61,201910,2019-12-12,DB12-059,-970.41,0,-970
ESPC61,201910,2019-12-19,DB10-099,-137.94,0,-137
ESPC61,201910,2019-12-19,DB10-115,-360.81,0,-360
ESPC61,201910,2019-12-19,DB10-116,-609.6,0,-609
ESPC62,201907,2019-09-12,DB07-074,-91.2,0,-91
ESPC63,201903,2019-05-17,DB03-103,-359.1,0,-359
ESPC63,201907,2019-09-12,DB07-073,-47.88,0,-47
ESPC63,201910,2019-12-12,DB12-058,-183.54,0,-183
ESPC63,201910,2019-12-19,DB10-100,-183.54,0,-183
ESPC64,201903,2019-05-24,DB03-148,-119.7,0,-119
ESPC65,201903,2019-05-14,DB03-079,-9467.3,-767,-9467
ESPC65,201904,2019-06-11,DB04-078,-173.99,-14,-173
ESPC65,201905,2019-07-11,DB05-077,-10905.64,-884,-10904
ESPC65,201907,2019-09-11,DB07-111,-2931.45,-237,-2931
ESPC65,201908,2019-10-11,DB08-093,-2931.45,-237,-2931
ESPC65,201909,2019-11-12,DB09-085,-131.76,-10,-131
ESPC66,201903,2019-05-13,DB03-054,-2000.0,0,-2000
ESPC66,201906,2019-08-13,DB06-088,-18702.65,-1516,-18702
ESPC68,202011,2020-01-24,DB11-115,-155.49,-39,-155
ESPC69,201903,2019-05-31,DB03-219,-4917.49,-258,-4917
ESPC69,201905,2019-07-03,DB05-033,-6177.44,-324,-6176
ESPC69,201906,2019-08-01,DB06-013,-4063.96,0,-4063
ESPC69,201906,2019-08-30,DB06-190,-7057.91,-371,-7057
ESPC69,201907,2019-09-30,DB07-199,-16499.5,-868,-16499
ESPC69,201909,2019-11-05,DB09-022,-1415.21,-74,-1415
ESPC69,201910,2019-12-17,DB12-079,-14752.62,0,-14752
ESPC69,202011,2020-01-13,DB11-037,-17250.5,0,-17250
ESPC71,201903,2019-05-24,DD03-015,-669.64,0,-669
ESPC71,201905,2019-07-15,DB05-113,-809.62,-20,-808
ESPC71,201908,2019-10-21,DD08-010,-389.88,0,-389
ESPC71,201909,2019-11-19,DD09-011,-1098.96,0,-1098
ESPC74,201908,2019-10-11,DB08-087,-521.97,-42,-521
ESPC76,201905,2019-07-02,DB05-019,-28838.42,-1516,-28838
ESPC76,201905,2019-07-31,DB05-219,-655.22,-34,-655
ESPC76,201906,2019-08-31,DB06-192,-162.45,-8,-162
ESPC76,201909,2019-11-02,DB09-010,-24.1,-1,-24
ESPC76,201909,2019-11-27,DB09-151,-68.5,0,-68
ESPC76,202011,2020-01-04,DB11-006,-411.81,-25,-411
ESPC77,201907,2019-09-18,DB07-120,0.0,57,0
ESPC80,201905,2019-07-29,DB05-201,-159.6,0,-158
ESPC80,201910,2019-12-19,DB10-103,-39.9,0,-39
ESPC80,202011,2020-01-14,DB11-104,-114.88,-9,-114
ESPC82,201909,2019-11-12,DB09-086,-49.24,-4,-49
ESPC82,202011,2020-01-14,DB11-103,-200.3,-16,-200
ESPC83,201905,2019-07-31,DB05-220,-5595.86,0,-5595
ESPC83,201906,2019-08-21,DB05-220,0.0,-294,0
ESPC84,201903,2019-05-23,DD03-014,-4260.98,-473,-4260
ESPC84,201905,2019-07-23,DD05-015,-4348.98,-472,-4348
ESPC84,201909,2019-11-20,DD09-013,-3000.99,0,-3000
ESPC84,202011,2020-01-13,DD11-004,-153.84,0,-153
ESPC88,201904,2019-06-11,DB04-094,-4.22,0,-4
ESPC88,201905,2019-07-11,DB05-095,-1444.66,-116,-1444
ESPC88,201906,2019-08-13,DB06-090,-112.83,-9,-112
ESPC88,201910,2019-12-19,DB10-111,-89.63,-3,-89
ESPC89,201904,2019-06-03,DB04-008,-656.64,-72,-656
ESPC89,201905,2019-07-11,DB05-085,-73.8,-6,-72
ESPC89,201908,2019-10-04,DB07-090,0.0,-346,0
ESPC90,201904,2019-06-11,DB04-089,-160.29,-12,-160
ESPC90,201907,2019-09-11,DB07-103,-2159.54,-308,-2159
ESPC90,201908,2019-10-11,DB08-085,-2159.54,-308,-2159
ESPC93,201903,2019-05-14,DB03-081,-960.65,-77,-960
ESPC93,201904,2019-06-11,DB04-084,-880.38,-71,-880
ESPC93,201905,2019-07-11,DB05-082,-137.08,-10,-136
ESPC93,201906,2019-08-13,DB06-076,-811.96,-65,-811
ESPC94,201904,2019-06-11,DB04-090,-3650.17,-93,-3650
ESPC94,201906,2019-08-22,DB06-116,-3098.52,0,-3098
ESPC95,201903,2019-05-14,DB03-063,-5701.62,0,-5701
ESPC95,201903,2019-05-14,DB03-090,-5559.08,-142,-5559
ESPC95,201904,2019-06-11,DB04-092,-1276.08,-32,-1276
ESPC95,201904,2019-06-27,DB04-154,-4298.38,0,-4298
ESPC96,201903,2019-05-22,DB03-132,-6116.53,0,-6116
ESPC96,201905,2019-07-03,DB05-031,-2137.92,0,-2136
ESPC96,201910,2019-12-20,DB10-127,-3339.28,0,-3339
ESPC99,201907,2019-09-30,DB07-197,-1477.39,-164,-1477
ESTE01,201904,2019-06-01,DB04-002,-6292.23,0,-6292
ESTE01,201906,2019-08-01,DB06-008,-590.77,0,-590
ESTE01,201908,2019-10-30,DB08-202,-2016.85,-106,-2016
ESTE01,201910,2019-12-02,DB10-006,-585.68,0,-585
ESTE01,201910,2019-12-02,DB10-007,-6985.35,-367,-6985
ESTE01,202011,2020-01-24,DB11-119,-5244.0,0,-5244
ESTE01,202011,2020-01-29,DD11-012,0.0,-526,0
ESTP01,201905,2019-07-12,DB05-073,-9612.48,0,-9612
ESTP01,201906,2019-08-22,DB06-109,-644.1,0,-644
ESTP01,202011,2020-01-27,DB11-132,-1891.2,0,-1891
ETHB01,201909,2019-11-14,DB09-063,-121.98,0,-121
ETRN01,201905,2019-07-16,DB05-116,-1224.36,0,-1224
EVIW01,201904,2019-06-05,DB04-020,-344.85,0,-344
EVIW01,201905,2019-07-26,DB05-191,-6788.7,-100,-6788
EVIW01,201906,2019-08-23,DB06-121,-810.25,0,-810
EVIW01,201909,2019-11-20,DC700939,-689.7,0,-689
EVIW01,202011,2020-01-29,DB11-158,-644.1,0,-644
EZEN01,201905,2019-07-01,DD05-001,-5950.8,0,-5950
FMAO01,201903,2019-05-24,DD03-015,-8455.8,-876,-8455
FMOF01,201903,2019-05-31,DB03-220,-4115.4,-219,-4115
FMOF01,201904,2019-06-28,DB04-179,-6562.98,-718,-6562
FMOF01,201905,2019-07-31,DB05-225,-1114.54,-57,-1114
FMOF01,201906,2019-08-30,DB06-187,-1560.47,-82,-1560
FMOF01,201907,2019-09-26,DB07-168,-1489.12,-78,-1489
FMOF01,201909,2019-11-28,DB09-164,-416.9,-21,-416
FMOF01,202011,2020-01-21,DB11-080,-785.12,-41,-785
FMOF02,201904,2019-06-25,DB04-129,-173.28,-9,-173
FMOF02,201905,2019-07-25,DB05-185,-75.82,-2,-74
FMOF02,201906,2019-08-24,DB06-124,-43.26,-2,-43
FMOF02,201908,2019-10-25,DB08-173,-143.45,-7,-143
FMOF02,201909,2019-11-27,DB09-150,-45.54,0,-45
FMOF03,201903,2019-05-25,DB03-150,-7474.87,0,-7474
FMOF03,201905,2019-07-25,DB05-183,-549.64,0,-548
FMOF03,201906,2019-08-05,DB06-025,0.0,-37,0
FMOF03,201910,2019-12-24,DB10-148,-4677.22,0,-4677
FMOF03,202011,2020-01-25,DB11-128,-1043.7,0,-1043
FMOF05,201904,2019-06-28,DB04-171,-329.24,-16,-328
FMOF05,201905,2019-07-22,DD05-014,0.0,-278,0
FMOF05,201905,2019-07-31,DB05-216,-318.4,-16,-318
FMOF05,201906,2019-08-30,DB06-181,-176.47,-9,-176
FMOF05,201907,2019-09-06,DB07-044,-6537.73,-726,-6537
FMOF05,201907,2019-09-12,DB07-072,-837.42,-93,-837
FMOF05,201907,2019-09-30,DB07-186,-142.56,-15,-142
FMOF05,201908,2019-10-31,DB08-217,-43.26,0,-43
FMOF05,201909,2019-11-29,DB09-170,-43.26,-4,-43
FMOF05,201910,2019-12-12,DB12-054,-4524.66,-502,-4524
FMOF09,201909,2019-11-20,CJ09A013,-162.39,0,-162
FMOF09,201909,2019-11-21,DD09-014,0.0,-8,0
GAUU01,201906,2019-08-08,DB06-045,-1384.64,-191,-1384
GBEG03,201909,2019-11-29,DB09-178,-43.26,-2,-43
GBIF01,201905,2019-07-04,DD05-004,-33926.4,0,-33926
GBIF01,201906,2019-08-13,DD06-006,-74579.99,0,-74579
GBIF01,202011,2020-01-14,DD11-005,-17903.7,0,-17903
GDEO01,202011,2020-01-13,DD11-004,-85.44,0,-85
GEDA02,201907,2019-09-30,DB07-185,-63.21,0,-63
GEDA02,201908,2019-10-31,DB08-208,-35.34,0,-35
GEDA02,201910,2019-12-02,DB10-001,-45.54,0,-45
GEDA02,202011,2020-01-24,DD11-010,-171.0,0,-171
GEDA04,201903,2019-05-31,MAY2002,-3947.38,0,-3947
GEDA04,201905,2019-07-01,DB05-001,-42968.44,0,-42968
GEDA04,201908,2019-10-31,DB08-210,-29853.35,0,-29853
GEDA04,201910,2019-12-02,DB10-003,-184210.42,0,-184210
GEDA04,202010,2019-12-31,DB10-160,-154180.46,0,-154180
GEDA04,202011,2020-01-31,Jan-03,-464108.07,0,-464108
GEDE01,201903,2019-05-13,DD03-008,-454.86,-23,-454
GEDE01,201904,2019-06-04,DD04-002,-458.1,0,-458
GEDE01,201905,2019-07-23,DD05-015,-86.64,0,-86
GEGM01,201903,2019-05-20,DD03-012,0.0,-557,0
GEGM01,201903,2019-05-27,DB03-159,-332.48,-18,-332
GEGM01,201904,2019-06-25,DB04-130,-21.28,0,-21
GEGM01,201907,2019-09-30,DB07-190,-159.14,-8,-159
GENE02,201907,2019-09-10,DB07-058,-198.02,0,-198
GGIA01,201907,2019-09-20,DB07-133,-404.64,0,-404
GGIA01,202011,2020-01-08,DB11-020,-1711.4,0,-1711
GGOA01,201908,2019-10-18,DB08-121,-45.54,0,-45
GLEO01,201906,2019-08-26,DB06-127,-350.0,0,-350
GLEO01,201908,2019-10-21,DB08-127,-560.0,0,-560
GLIH01,201903,2019-05-27,DD03-016,-4000.0,0,-4000
GLIH01,201905,2019-07-11,DD05-008,-6000.0,0,-6000
GLIH01,201908,2019-10-14,DD08-007,-367.02,0,-367
GLIH01,202011,2020-01-30,DD11-013,-390.39,0,-390
GMEA02,201910,2019-12-09,DD10-005,-2109.0,0,-2109
GMOA01,201904,2019-06-03,DD04-001,-606.48,-31,-606
GMOA01,201908,2019-10-02,DD08-014,-655.22,-34,-655
GMOA01,201909,2019-11-04,DD09-002,-655.22,-34,-655
GMOA01,201910,2019-12-10,DD10-006,-866.4,-45,-866
GMOA01,202011,2020-01-20,DD11-006,-2341.6,0,-2341
GSEA01,201909,2019-11-22,DB09-120,-74.73,-3,-74
GSEW01,201907,2019-09-27,DD07-011,-2701.49,-304,-2701
GWAN01,201907,2019-09-27,DB07-174,-1237.25,-137,-1237
GWAN01,202011,2020-01-28,DB11-145,-713.02,-79,-713
HATL01,201907,2019-09-30,DB07-183,-60.05,-3,-60
HATL02,201906,2019-08-22,DB06-112,-743.8,-82,-743
HATL02,201910,2019-12-17,DD10-007,-39.9,0,-39
HISO01,201905,2019-07-25,DD05-016,-2929.8,0,-2928
HISO01,201906,2019-08-12,DD06-005,-1464.9,0,-1464
HISO01,201907,2019-09-20,DD07-008,-6732.95,0,-6732
HKAM02,201903,2019-05-17,DB03-102,-1606.12,0,-1606
HKAM02,201905,2019-07-22,DB05-163,-731.88,0,-730
HKAM02,201907,2019-09-10,DB07-062,-1073.88,0,-1073
HMAA01,201908,2019-10-31,DD08-016,-142.31,-15,-142
HMAA01,201910,2019-12-09,DD10-005,-128.2,-14,-128
HMAA03,201906,2019-08-16,DB06-068,-729.6,0,-729
HMAA03,201907,2019-09-19,DB07-128,-1288.08,0,-1288
HMAO01,201904,2019-06-11,DB03-033,0.0,-7,0
HMAO01,201910,2019-12-24,DB10-145,-2266.72,-396,-2266
HMAO04,201908,2019-10-07,DD08-003,-39.9,0,-39
HMAO05,201908,2019-10-02,DB08-017,-548.91,-60,-548
HMAO05,201908,2019-10-26,DB08-180,-153.9,-17,-153
HMOA02,201903,2019-05-31,DB03-212,-1903.8,0,-1903
HMOA03,201903,2019-05-22,DB12-051,0.0,-268,0
HMOA03,201906,2019-08-07,DB06-035,-156.18,0,-156
HMOA03,201906,2019-08-08,DB06-043,-39.9,0,-39
HMOA03,201908,2019-10-29,DB08-197,-624.89,0,-624
HMOA03,201909,2019-11-01,DB08-197,0.0,-30,0
HMOA03,202011,2020-01-31,Jan-03,0.0,-1390,0
HMOA04,201906,2019-08-08,DB06-043,-180.12,0,-180
HMOA04,201908,2019-10-29,DB08-198,-782.21,0,-782
HMOL03,201903,2019-05-14,DB03-065,-456.0,0,-456
HMOL04,201905,2019-07-11,DD05-008,-291.84,0,-290
HMOL04,201909,2019-11-25,DD09-016,-2500.0,0,-2500
HMOL04,202011,2020-01-23,DB11-100,-3000.0,0,-3000
HMPA01,201903,2019-05-24,DD03-015,-4812.08,0,-4812
HMPA01,201906,2019-08-30,DB06-188,-2868.79,0,-2868
HMPA01,201906,2019-08-30,DB06-189,-5000.0,0,-5000
HMPA01,201907,2019-09-25,DB07-158,-5123.08,0,-5123
HMPA01,201909,2019-11-26,DB09-140,-2547.84,-275,-2547
HMPA01,201910,2019-12-09,DB10-039,-2379.99,0,-2379
HMPU01,201904,2019-06-21,DD04-011,-3693.6,-820,-3693
HMPU01,201905,2019-07-01,DD05-001,-7387.2,-1640,-7386
HRAM01,201904,2019-06-26,DB04-142,-5000.0,0,-5000
HRAM01,201905,2019-07-17,DB05-132,-5000.0,0,-5000
HRAM01,201907,2019-09-03,DB07-010,-2500.0,0,-2500
HRAM01,201909,2019-11-01,DB09-006,-3500.0,0,-3500
HRAM01,201909,2019-11-12,DB09-052,-3500.0,0,-3500
HRAM01,201909,2019-11-19,DB09-101,-77.64,0,-77
HRAM01,201910,2019-12-11,DB10-051,-182.28,0,-182
HSCL01,201905,2019-07-26,DD05-017,-1288.2,0,-1288
HSCN01,201908,2019-10-08,DB08-049,-406.98,0,-406
HSCN02,201904,2019-06-12,DD04-006,-164.16,0,-164
HSCN02,201906,2019-08-26,DD06-012,-369.3,0,-369
HSCO01,201906,2019-08-26,DD06-012,-2615.16,0,-2615
HSCO01,201908,2019-10-02,DD08-014,-914.28,0,-914
HSCO02,201904,2019-06-07,DB04-034,-2218.67,0,-2218
HSCO02,201905,2019-07-24,DB05-176,-4000.0,0,-4000
HSCO02,201906,2019-08-22,DB06-111,-5000.0,0,-5000
HSCO02,201907,2019-09-25,DB07-155,-2518.26,0,-2518
HSCO02,201907,2019-09-28,DB07-178,-3145.26,0,-3145
HSCO02,201910,2019-12-13,DB12-069,-1667.82,0,-1667
HTSE01,201906,2019-08-22,DB06-115,-2513.7,0,-2513
HTSE01,201909,2019-11-21,DB09-115,-1818.3,0,-1818
HTSI01,201903,2019-05-27,DD03-016,-2408.54,0,-2408
HTSI01,201904,2019-06-13,DD04-009,-2408.54,0,-2408
HTSI01,201905,2019-07-18,DD05-013,-4817.08,0,-4816
HTSI01,201906,2019-08-22,DD05-013,0.0,-2738,0
HTSI01,201906,2019-08-26,DD06-012,-2250.0,0,-2250
HTSI01,201910,2019-12-19,DB10-091,-1558.34,0,-1558
HUML01,201904,2019-06-06,DB04-029,-7952.22,-883,-7952
HUML01,201906,2019-08-06,DB06-028,-622.78,-69,-622
HUML01,201907,2019-09-06,DB07-042,-4391.28,-487,-4391
HUML01,201908,2019-10-07,DB08-040,-213.69,0,-213
HUML01,201909,2019-11-12,DD09-007,-2108.43,-234,-2108
HUML01,201910,2019-12-10,DB10-045,-5854.82,-650,-5854
HZAE01,201903,2019-05-17,DD03-011,-591.66,-102,-591
HZAE01,201907,2019-09-12,DD07-005,-10462.64,-1494,-10462
IBHK01,201903,2019-05-29,DB03-177,-39.09,-2,-39
IBHK01,201909,2019-11-20,DB09-104,-8785.34,-3154,-8785
IBHK01,202011,2020-01-31,DB11-186,-551.71,-137,-551
IBRN03,201904,2019-06-21,DD04-011,-163.02,0,-163
IBRN03,201909,2019-11-29,DD09-018,-173.22,-9,-173
IDZN01,201810,2018-12-10,DB10-062,-12000.0,0,0
IDZN01,201905,2019-07-12,DB05-072,-3100.0,0,-3100
IERN03,201905,2019-07-04,DB05-040,-266.76,0,-266
IERN03,201909,2019-11-12,DB09-054,-152.76,0,-152
IFLG01,201908,2019-10-11,DB08-071,-707.4,-79,-707
IFLG01,201909,2019-11-22,DB09-119,-405.27,-45,-405
IGAL01,201907,2019-09-17,DB07-098,-398.94,-57,-398
IHAN01,201905,2019-07-23,DD05-015,-1631.24,-180,-1630
IHAN01,201908,2019-10-01,DD08-001,-43.27,-2,-43
IHAN01,202011,2020-01-07,DD11-002,-620.68,-68,-620
IHAN01,202011,2020-01-24,DD11-010,-1456.47,-76,-1456
IHEN01,202011,2020-01-23,DD11-009,-3134.99,0,-3134
IIFL01,201908,2019-10-04,DD08-002,-3364.42,0,-3364
IIFL01,201909,2019-11-01,DD09-001,-3364.43,0,-3364
IIJE01,201903,2019-05-13,DB03-060,-13518.32,0,-13518
IIJE01,201907,2019-09-02,DB07-009,-5000.0,0,-5000
IIJE01,201907,2019-09-20,DB07-135,-5000.0,0,-5000
IIJE01,201908,2019-10-21,DB08-134,-5000.0,0,-5000
IIJE01,202011,2020-01-23,DB11-114,-5000.0,0,-5000
